,Country Code,Country,Item Code,Item,Domestic supply quantity,Food,Export Quantity,Import Quantity,Losses,Production,Feed,Stock Variation,Year,Population,Land Use
106,21,Brazil,2919,Fruits - Excluding Wine,,23201.0,12856.0,489.0,5772.0,41265.0,0.0,,2014,204213.133,
107,21,Brazil,2918,Vegetables,,10983.0,280.0,740.0,1380.0,11927.0,0.0,,2014,204213.133,
108,21,Brazil,2919,Fruits - Excluding Wine,,23449.0,12771.0,506.0,5833.0,41711.0,0.0,,2015,205962.108,
109,21,Brazil,2918,Vegetables,,11117.0,299.0,724.0,1401.0,12103.0,0.0,,2015,205962.108,
110,21,Brazil,2919,Fruits - Excluding Wine,,25714.0,11360.0,562.0,5954.0,42574.0,0.0,,2016,207652.865,
111,21,Brazil,2918,Vegetables,,11397.0,277.0,814.0,1428.0,12339.0,0.0,,2016,207652.865,
112,21,Brazil,2919,Fruits - Excluding Wine,,27070.0,10290.0,599.0,6017.0,42843.0,0.0,,2017,209288.27800000002,
113,21,Brazil,2918,Vegetables,,11593.0,270.0,860.0,1448.0,12506.0,0.0,,2017,209288.27800000002,
114,21,Brazil,2919,Fruits - Excluding Wine,,25745.0,11404.0,567.0,6009.0,42619.0,0.0,,2018,210867.954,
115,21,Brazil,2918,Vegetables,,11925.0,297.0,833.0,1502.0,12938.0,0.0,,2018,210867.954,
116,21,Brazil,2919,Fruits - Excluding Wine,,26398.0,11127.0,581.0,6100.0,43252.0,0.0,,2019,212392.717,
117,21,Brazil,2918,Vegetables,,12380.0,270.0,902.0,1532.0,13273.0,0.0,,2019,212392.717,
118,21,Brazil,2919,Fruits - Excluding Wine,,26155.0,11321.0,573.0,6096.0,43130.0,0.0,,2020,213863.046,
119,21,Brazil,2918,Vegetables,,12678.0,188.0,1106.0,1557.0,13422.0,0.0,,2020,213863.046,
120,21,Brazil,2919,Fruits - Excluding Wine,,26791.0,14335.0,306.0,6245.0,43984.0,0.0,,2021,215277.9,
